Pick,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,QBs in Final 9,RBs in Final 9,WRs in Final 9,TEs in Final 9,Average Points
4th,WR,WR,WR,WR,WR,WR,RB,RB,RB,2,3,2,2,1561.98316
4th,WR,WR,WR,WR,TE,RB,QB,RB,TE,1,3,5,0,1561.96788
6th,TE,WR,WR,QB,TE,WR,RB,RB,RB,1,2,6,0,1561.96368
4th,WR,RB,QB,RB,QB,TE,WR,RB,WR,0,5,3,1,1561.9605
6th,WR,RB,QB,WR,WR,QB,TE,QB,WR,0,4,4,1,1561.94856
6th,RB,RB,RB,RB,TE,WR,WR,WR,WR,2,1,5,1,1561.9351
1st,WR,RB,TE,RB,RB,QB,TE,RB,RB,1,1,7,0,1561.90764
12th,WR,WR,WR,WR,WR,WR,WR,RB,QB,1,6,0,2,1561.9067
6th,TE,RB,RB,WR,WR,RB,QB,WR,TE,1,1,7,0,1561.89788
4th,RB,WR,QB,RB,TE,QB,WR,WR,RB,0,3,5,1,1561.89674
1st,WR,WR,QB,RB,WR,TE,TE,WR,RB,1,5,3,0,1561.8902
4th,WR,QB,WR,RB,RB,WR,RB,WR,WR,1,3,3,2,1561.87928
12th,RB,RB,RB,QB,WR,RB,WR,RB,RB,1,0,6,2,1561.8496
9th,RB,QB,WR,RB,WR,RB,TE,WR,RB,1,2,5,1,1561.80996
12th,WR,WR,WR,TE,WR,QB,RB,RB,WR,1,3,3,2,1561.80766
9th,WR,WR,QB,RB,RB,TE,RB,WR,WR,1,2,5,1,1561.80064
12th,WR,WR,WR,RB,RB,TE,QB,WR,WR,2,3,2,2,1561.7985
6th,TE,WR,WR,RB,RB,WR,RB,QB,RB,1,3,4,1,1561.79666
1st,WR,RB,TE,WR,RB,QB,TE,TE,RB,1,2,6,0,1561.78082
6th,RB,RB,TE,WR,QB,RB,WR,WR,QB,0,1,7,1,1561.76534
12th,TE,WR,WR,TE,WR,QB,RB,RB,WR,1,3,5,0,1561.74944
6th,RB,WR,QB,RB,WR,RB,WR,TE,RB,1,1,5,2,1561.7242
12th,WR,WR,WR,TE,QB,RB,RB,WR,WR,1,3,4,1,1561.70734
6th,RB,RB,RB,RB,QB,TE,QB,TE,WR,0,0,8,1,1561.70652
9th,WR,WR,TE,RB,QB,WR,RB,WR,WR,1,3,4,1,1561.6994
9th,RB,QB,TE,RB,WR,RB,RB,WR,WR,1,1,6,1,1561.68504
6th,WR,WR,WR,QB,RB,TE,WR,WR,RB,1,4,3,1,1561.68462
9th,RB,RB,RB,WR,WR,RB,WR,TE,QB,1,0,7,1,1561.68368
12th,WR,WR,WR,QB,RB,WR,WR,WR,WR,1,6,0,2,1561.67712
12th,WR,RB,QB,WR,RB,TE,WR,WR,RB,1,3,4,1,1561.67448
4th,WR,QB,TE,WR,RB,WR,QB,WR,RB,0,4,4,1,1561.6671
12th,RB,QB,RB,WR,RB,WR,RB,TE,RB,1,1,6,1,1561.64644
6th,WR,WR,RB,TE,WR,QB,WR,RB,RB,1,2,5,1,1561.62976
9th,WR,RB,TE,RB,QB,QB,WR,TE,RB,0,2,7,0,1561.59126
1st,TE,WR,QB,WR,QB,WR,WR,RB,RB,0,3,5,1,1561.58794
9th,WR,RB,WR,QB,WR,TE,RB,RB,TE,1,2,5,1,1561.57136
12th,WR,RB,WR,RB,TE,RB,WR,WR,RB,2,3,3,1,1561.55888
6th,TE,RB,WR,WR,WR,QB,RB,TE,RB,1,2,6,0,1561.55674
6th,RB,RB,RB,WR,WR,TE,WR,QB,WR,1,1,6,1,1561.54596
4th,TE,WR,RB,WR,QB,WR,RB,WR,QB,0,3,5,1,1561.53152
1st,WR,QB,RB,WR,RB,RB,QB,WR,WR,0,4,3,2,1561.5229
1st,RB,RB,RB,WR,TE,RB,QB,WR,WR,1,2,5,1,1561.50622
1st,WR,RB,TE,RB,WR,QB,TE,RB,WR,1,4,4,0,1561.48992
6th,RB,RB,WR,QB,RB,RB,WR,TE,WR,1,0,6,2,1561.48282
6th,RB,RB,RB,WR,WR,QB,TE,TE,QB,0,1,8,0,1561.48266
12th,WR,WR,WR,WR,WR,WR,WR,TE,RB,2,5,0,2,1561.46924
12th,RB,RB,RB,RB,TE,WR,WR,WR,RB,2,0,6,1,1561.4667
6th,RB,RB,QB,RB,RB,QB,WR,WR,WR,0,1,6,2,1561.46204
9th,WR,RB,TE,RB,RB,QB,TE,WR,RB,1,2,6,0,1561.41606
6th,TE,RB,WR,RB,QB,RB,WR,WR,WR,1,2,5,1,1561.41456
6th,WR,WR,RB,WR,WR,RB,TE,WR,QB,1,5,2,1,1561.4089
1st,RB,RB,RB,WR,WR,QB,WR,WR,WR,1,2,4,2,1561.39252
6th,WR,RB,RB,QB,RB,RB,WR,QB,TE,0,1,7,1,1561.35438
4th,WR,WR,WR,RB,TE,QB,WR,TE,RB,1,4,4,0,1561.35252
9th,WR,RB,TE,QB,TE,WR,QB,QB,WR,0,5,4,0,1561.34784
1st,RB,RB,QB,RB,WR,WR,TE,WR,RB,1,1,6,1,1561.34748
9th,RB,WR,WR,WR,WR,RB,QB,TE,RB,1,3,4,1,1561.34226
1st,WR,TE,RB,WR,WR,QB,TE,WR,WR,1,6,2,0,1561.33586
9th,TE,WR,RB,WR,WR,QB,WR,QB,RB,0,3,5,1,1561.30992
12th,RB,QB,RB,WR,RB,TE,WR,QB,WR,0,3,5,1,1561.2946
6th,WR,RB,RB,QB,RB,QB,TE,RB,TE,0,1,8,0,1561.28554
12th,WR,WR,RB,RB,WR,QB,WR,WR,WR,1,4,2,2,1561.28484
4th,WR,WR,RB,WR,WR,QB,TE,WR,WR,1,4,3,1,1561.28166
6th,RB,WR,WR,RB,RB,RB,RB,TE,WR,2,0,6,1,1561.27898
4th,WR,WR,QB,RB,WR,QB,TE,WR,WR,0,6,2,1,1561.2758
12th,RB,QB,WR,RB,RB,WR,WR,TE,WR,1,2,5,1,1561.27144
1st,RB,WR,QB,RB,WR,RB,WR,TE,RB,1,2,4,2,1561.25584
4th,WR,RB,TE,RB,WR,TE,RB,RB,RB,2,1,6,0,1561.24466
6th,WR,RB,RB,WR,WR,WR,TE,WR,WR,3,2,2,2,1561.22776
9th,WR,WR,RB,QB,RB,TE,WR,WR,RB,1,3,4,1,1561.21612
9th,WR,RB,QB,WR,RB,TE,WR,WR,RB,1,3,4,1,1561.21544
6th,RB,QB,WR,TE,RB,QB,WR,RB,WR,0,4,4,1,1561.21408
6th,RB,RB,TE,TE,RB,WR,WR,QB,QB,0,2,7,0,1561.19298
1st,WR,QB,WR,WR,WR,QB,RB,WR,WR,0,6,1,2,1561.18242
12th,WR,QB,QB,WR,WR,RB,WR,RB,RB,0,4,3,2,1561.18204
1st,RB,WR,QB,RB,RB,RB,TE,WR,WR,1,2,5,1,1561.17966
9th,RB,WR,TE,RB,WR,WR,QB,WR,WR,1,3,4,1,1561.16108
6th,WR,WR,TE,QB,WR,RB,WR,RB,RB,1,3,4,1,1561.13494
12th,WR,RB,TE,QB,RB,QB,TE,WR,RB,0,3,6,0,1561.13264
9th,WR,WR,QB,WR,TE,RB,RB,WR,QB,0,3,5,1,1561.12654
1st,WR,QB,WR,RB,RB,WR,WR,TE,WR,1,3,4,1,1561.12372
4th,RB,RB,RB,WR,WR,TE,RB,WR,QB,1,1,6,1,1561.11244
9th,WR,WR,WR,TE,QB,RB,WR,RB,RB,1,3,4,1,1561.10592
9th,WR,RB,WR,RB,RB,RB,WR,QB,TE,1,2,5,1,1561.09114
6th,WR,WR,QB,WR,RB,RB,WR,QB,TE,0,4,4,1,1561.05658
4th,RB,WR,RB,WR,RB,QB,TE,WR,RB,1,2,5,1,1561.03788
12th,RB,QB,RB,WR,TE,WR,RB,WR,QB,0,2,6,1,1561.03588
9th,RB,RB,TE,TE,RB,WR,RB,QB,RB,1,0,8,0,1561.03188
4th,TE,RB,RB,TE,QB,QB,WR,WR,WR,0,3,6,0,1561.0296
6th,RB,RB,RB,RB,TE,WR,RB,WR,WR,2,0,6,1,1561.02682
12th,RB,WR,QB,WR,RB,WR,TE,RB,WR,1,3,4,1,1561.01664
12th,WR,RB,WR,TE,WR,RB,WR,RB,TE,2,2,5,0,1561.00692
12th,WR,RB,TE,RB,WR,RB,WR,RB,WR,2,2,4,1,1561.0058
12th,WR,QB,TE,WR,WR,WR,RB,RB,QB,1,5,2,1,1561
4th,WR,WR,RB,WR,QB,WR,TE,WR,RB,0,3,4,2,1561
9th,WR,WR,WR,WR,WR,RB,RB,RB,RB,2,2,3,2,1561
9th,RB,WR,QB,TE,QB,RB,WR,WR,RB,2,2,5,0,1561
9th,WR,RB,RB,RB,QB,WR,WR,QB,WR,0,2,4,3,1561
12th,RB,WR,WR,TE,WR,QB,RB,WR,WR,1,4,3,1,1561
9th,RB,WR,WR,WR,RB,RB,RB,QB,TE,1,1,5,2,1561
9th,TE,WR,QB,RB,WR,RB,RB,WR,RB,1,3,5,0,1561
6th,WR,WR,RB,WR,WR,RB,WR,QB,QB,0,4,4,1,1561
4th,WR,WR,RB,WR,RB,TE,QB,RB,QB,1,2,5,1,1561
12th,RB,RB,WR,WR,WR,WR,RB,WR,QB,1,2,3,3,1561
4th,RB,WR,RB,QB,WR,RB,TE,TE,WR,0,2,7,0,1561
9th,RB,RB,WR,TE,RB,QB,WR,WR,QB,1,3,5,0,1561
6th,WR,RB,WR,WR,RB,WR,WR,WR,RB,2,3,2,2,1561
4th,RB,WR,TE,TE,QB,WR,WR,QB,WR,0,6,3,0,1561
4th,WR,RB,WR,RB,RB,QB,WR,QB,TE,1,3,4,1,1561
12th,TE,RB,RB,WR,QB,WR,WR,WR,QB,0,4,5,0,1561
12th,WR,RB,QB,WR,WR,TE,TE,RB,TE,0,5,4,0,1561
6th,RB,RB,TE,WR,WR,QB,WR,RB,WR,1,2,5,1,1561
12th,RB,WR,RB,RB,QB,WR,RB,QB,QB,0,4,3,2,1561
9th,WR,RB,TE,WR,TE,WR,QB,QB,WR,0,5,4,0,1561
12th,RB,WR,RB,QB,WR,WR,WR,RB,QB,0,2,4,3,1561
4th,RB,RB,WR,WR,WR,WR,WR,WR,WR,2,5,0,2,1561
4th,RB,RB,QB,RB,WR,WR,RB,TE,WR,0,1,6,2,1561
4th,WR,RB,RB,WR,QB,RB,RB,TE,RB,1,2,4,2,1561
9th,TE,WR,WR,QB,WR,RB,QB,QB,WR,0,5,4,0,1561
4th,WR,WR,QB,QB,RB,RB,WR,TE,RB,0,3,5,1,1561
1st,WR,WR,WR,RB,RB,TE,QB,WR,WR,2,3,2,2,1560.98514
4th,WR,WR,TE,QB,RB,WR,RB,WR,WR,2,3,3,1,1560.9738
6th,WR,RB,TE,WR,QB,TE,RB,TE,WR,1,3,5,0,1560.95564
4th,TE,WR,RB,QB,RB,WR,RB,WR,WR,1,3,4,1,1560.95472
9th,WR,RB,TE,QB,QB,QB,RB,TE,RB,0,2,7,0,1560.94882
1st,RB,RB,TE,WR,RB,RB,WR,WR,QB,1,2,5,1,1560.94852
4th,TE,RB,RB,RB,WR,WR,QB,WR,TE,1,1,7,0,1560.94232
6th,WR,RB,WR,QB,RB,QB,WR,WR,TE,0,4,4,1,1560.93588
12th,RB,WR,RB,TE,WR,WR,WR,RB,RB,2,2,4,1,1560.92802
4th,RB,RB,WR,TE,RB,WR,WR,QB,RB,1,0,7,1,1560.92104
4th,WR,RB,TE,RB,RB,QB,TE,RB,RB,1,1,7,0,1560.91978
4th,WR,RB,TE,RB,RB,WR,QB,QB,WR,0,3,5,1,1560.90734
12th,WR,RB,TE,WR,WR,QB,TE,RB,RB,1,4,4,0,1560.9028
9th,WR,WR,WR,WR,WR,WR,WR,QB,TE,2,4,0,3,1560.90108
4th,WR,WR,TE,RB,WR,WR,QB,WR,RB,1,3,4,1,1560.88732
9th,RB,WR,QB,WR,RB,TE,TE,WR,RB,1,3,5,0,1560.875
6th,WR,RB,TE,WR,WR,QB,TE,RB,RB,1,3,5,0,1560.86356
6th,RB,QB,RB,WR,RB,WR,WR,RB,WR,1,2,4,2,1560.85544
6th,WR,RB,QB,WR,RB,WR,WR,WR,WR,1,4,2,2,1560.84914
6th,WR,WR,WR,WR,WR,RB,RB,WR,WR,2,5,0,2,1560.82916
12th,WR,WR,RB,RB,TE,RB,WR,TE,RB,3,1,4,1,1560.77756
12th,TE,WR,WR,TE,RB,WR,RB,QB,RB,1,3,5,0,1560.7757
6th,TE,WR,WR,RB,RB,QB,RB,WR,WR,1,3,4,1,1560.768
1st,WR,WR,QB,WR,RB,TE,WR,RB,RB,1,3,4,1,1560.76454
9th,WR,RB,RB,TE,WR,QB,TE,RB,RB,1,2,6,0,1560.76442
4th,RB,WR,QB,TE,RB,WR,TE,RB,WR,1,2,6,0,1560.75268
12th,WR,QB,WR,WR,TE,RB,RB,RB,QB,0,4,4,1,1560.73678
4th,RB,WR,WR,RB,TE,QB,WR,TE,TE,1,3,5,0,1560.73536
9th,RB,QB,TE,RB,WR,RB,WR,WR,RB,1,2,5,1,1560.71494
6th,RB,WR,RB,TE,WR,WR,WR,RB,RB,2,2,4,1,1560.71154
1st,RB,RB,WR,RB,TE,RB,WR,WR,RB,2,1,5,1,1560.64976
12th,WR,QB,RB,RB,TE,QB,WR,WR,WR,0,6,2,1,1560.63984
9th,WR,TE,WR,QB,RB,QB,WR,WR,RB,0,6,2,1,1560.63362
4th,WR,RB,TE,RB,RB,QB,TE,RB,WR,1,2,6,0,1560.6048
9th,WR,RB,TE,RB,QB,QB,TE,QB,WR,0,4,5,0,1560.5981
12th,RB,WR,RB,RB,TE,QB,WR,WR,QB,0,2,6,1,1560.59622
4th,WR,QB,RB,WR,QB,WR,WR,WR,WR,0,5,1,3,1560.58422
9th,RB,WR,TE,RB,WR,RB,QB,WR,QB,0,2,6,1,1560.56142
9th,WR,RB,WR,RB,QB,QB,TE,TE,RB,0,2,6,1,1560.55124
12th,TE,WR,TE,WR,RB,WR,RB,QB,WR,1,3,5,0,1560.5315
12th,RB,RB,RB,QB,RB,WR,TE,RB,TE,1,0,8,0,1560.5227
6th,RB,QB,RB,RB,TE,QB,WR,RB,WR,0,3,5,1,1560.51958
1st,WR,RB,TE,RB,WR,QB,TE,RB,WR,1,3,5,0,1560.51828
1st,RB,RB,TE,RB,WR,WR,QB,WR,RB,1,1,6,1,1560.51684
1st,WR,WR,RB,RB,WR,QB,WR,WR,WR,1,4,2,2,1560.4927
9th,RB,RB,RB,WR,WR,TE,RB,QB,WR,1,2,5,1,1560.49248
9th,RB,WR,WR,RB,TE,QB,WR,TE,TE,1,3,5,0,1560.47138
6th,RB,WR,WR,RB,RB,RB,WR,RB,RB,2,0,5,2,1560.47066
6th,RB,QB,WR,WR,RB,RB,WR,TE,RB,1,1,6,1,1560.45032
4th,WR,RB,RB,RB,RB,QB,TE,RB,WR,1,1,6,1,1560.4418
1st,RB,WR,TE,RB,WR,WR,QB,WR,WR,1,3,4,1,1560.4305
4th,WR,RB,TE,RB,QB,TE,RB,QB,RB,0,4,5,0,1560.41492
9th,RB,WR,RB,WR,WR,WR,QB,WR,TE,1,3,3,2,1560.3952
6th,WR,RB,QB,RB,WR,TE,TE,WR,TE,1,4,4,0,1560.36794
9th,RB,QB,QB,RB,WR,WR,RB,WR,RB,0,1,6,2,1560.35174
4th,RB,WR,WR,WR,WR,RB,TE,TE,WR,2,3,4,0,1560.34556
1st,RB,RB,QB,WR,RB,WR,WR,WR,WR,1,2,4,2,1560.34546
6th,RB,RB,QB,QB,WR,RB,WR,RB,WR,0,0,7,2,1560.3442
4th,WR,WR,WR,TE,QB,RB,WR,RB,RB,1,3,4,1,1560.343
6th,RB,RB,RB,TE,TE,WR,WR,WR,WR,2,1,6,0,1560.30478
4th,WR,WR,TE,RB,WR,RB,QB,WR,QB,0,4,4,1,1560.29634
6th,WR,QB,WR,QB,RB,RB,WR,WR,TE,0,6,2,1,1560.28996
9th,RB,WR,TE,RB,RB,WR,TE,QB,QB,0,2,7,0,1560.2696
9th,WR,RB,QB,RB,RB,QB,TE,RB,RB,0,1,7,1,1560.26012
1st,RB,WR,RB,TE,QB,TE,TE,WR,WR,1,2,6,0,1560.24898
1st,WR,QB,TE,RB,WR,RB,WR,WR,RB,1,3,4,1,1560.2306
6th,RB,RB,QB,WR,WR,RB,WR,TE,WR,1,2,5,1,1560.22318
4th,WR,QB,RB,WR,WR,WR,RB,RB,WR,1,2,3,3,1560.22208
6th,WR,WR,QB,RB,QB,RB,WR,WR,WR,0,5,2,2,1560.21954
12th,RB,QB,WR,WR,WR,RB,RB,TE,TE,1,2,6,0,1560.20786
9th,RB,RB,QB,QB,RB,WR,TE,RB,WR,0,1,6,2,1560.20748
12th,WR,WR,QB,WR,RB,TE,WR,RB,RB,1,3,4,1,1560.19492
1st,WR,RB,TE,RB,WR,WR,QB,RB,RB,1,3,4,1,1560.194
1st,RB,WR,QB,RB,TE,WR,TE,RB,WR,1,3,5,0,1560.18044
9th,RB,RB,RB,WR,WR,TE,RB,WR,WR,2,2,4,1,1560.17694
9th,WR,WR,WR,RB,TE,QB,WR,TE,RB,1,4,4,0,1560.17336
12th,TE,WR,RB,RB,TE,WR,WR,QB,RB,1,3,5,0,1560.16014
1st,RB,WR,RB,RB,TE,WR,TE,RB,WR,3,2,4,0,1560.15758
1st,RB,RB,RB,WR,RB,WR,RB,TE,RB,2,0,6,1,1560.15398
4th,WR,RB,QB,WR,WR,QB,TE,QB,WR,0,4,4,1,1560.15304
4th,RB,RB,QB,RB,RB,WR,TE,WR,TE,1,0,8,0,1560.14792
6th,WR,WR,RB,RB,WR,RB,RB,WR,TE,2,2,4,1,1560.14106
9th,TE,WR,QB,WR,WR,RB,WR,RB,RB,1,3,4,1,1560.14028
4th,RB,RB,RB,RB,TE,QB,WR,WR,QB,0,2,6,1,1560.12306
6th,TE,RB,WR,WR,QB,WR,RB,RB,TE,1,2,6,0,1560.10584
6th,RB,WR,QB,WR,RB,TE,TE,WR,RB,1,2,6,0,1560.10218
9th,RB,RB,TE,WR,RB,QB,WR,TE,WR,1,1,6,1,1560.09612
4th,RB,QB,TE,WR,RB,WR,RB,WR,WR,1,3,4,1,1560.08618
9th,RB,WR,QB,RB,TE,TE,TE,WR,WR,1,3,5,0,1560.072
6th,WR,WR,RB,RB,TE,QB,WR,WR,WR,1,5,2,1,1560.0717
4th,WR,RB,TE,WR,RB,QB,WR,QB,WR,0,5,3,1,1560.0517
4th,RB,QB,WR,RB,RB,WR,RB,WR,WR,1,2,4,2,1560.0486
9th,RB,RB,RB,WR,TE,RB,QB,WR,WR,1,1,6,1,1560.04544
6th,RB,RB,RB,WR,QB,RB,WR,WR,TE,1,2,5,1,1560.04368
6th,WR,RB,TE,QB,WR,RB,WR,QB,TE,0,3,6,0,1560.02792
4th,WR,RB,TE,WR,RB,TE,RB,RB,WR,2,2,5,0,1560.01542
6th,WR,QB,WR,QB,RB,TE,WR,TE,WR,0,6,3,0,1560.00744
12th,RB,QB,RB,QB,WR,TE,WR,TE,WR,0,5,4,0,1560
9th,RB,QB,WR,WR,WR,WR,WR,QB,RB,0,2,5,2,1560
4th,WR,RB,RB,QB,QB,WR,TE,RB,WR,2,3,3,1,1560
9th,WR,WR,RB,WR,WR,RB,WR,QB,QB,0,4,4,1,1560
4th,RB,WR,RB,QB,WR,RB,QB,WR,TE,0,4,3,2,1560
12th,RB,RB,WR,WR,WR,WR,RB,WR,RB,3,2,1,3,1560
9th,RB,WR,TE,WR,QB,RB,WR,TE,TE,1,3,4,1,1560
12th,TE,RB,WR,QB,TE,WR,WR,RB,RB,2,2,5,0,1560
4th,RB,WR,RB,WR,RB,WR,WR,WR,TE,2,2,4,1,1560
9th,WR,WR,RB,QB,RB,TE,TE,QB,WR,0,3,5,1,1560
12th,RB,WR,TE,WR,QB,TE,WR,WR,QB,0,6,3,0,1560
9th,WR,RB,WR,QB,WR,TE,TE,TE,WR,2,5,2,0,1560
1st,RB,QB,TE,WR,WR,RB,WR,WR,RB,1,3,4,1,1560
1st,WR,RB,WR,RB,WR,TE,QB,RB,QB,2,1,4,2,1560
9th,RB,RB,WR,WR,TE,TE,TE,QB,QB,0,3,6,0,1560
9th,RB,WR,RB,QB,RB,QB,WR,TE,TE,0,3,4,2,1560
9th,WR,WR,QB,QB,TE,WR,TE,WR,RB,0,3,5,1,1560
4th,RB,RB,QB,TE,TE,WR,RB,RB,WR,1,3,5,0,1560
9th,WR,WR,QB,WR,RB,RB,TE,WR,RB,0,4,4,1,1560
4th,RB,RB,RB,WR,QB,RB,TE,WR,QB,0,2,5,2,1560
12th,RB,WR,WR,WR,TE,QB,RB,WR,QB,1,3,4,1,1560
12th,WR,RB,QB,TE,TE,QB,WR,RB,TE,0,3,4,2,1560
4th,WR,TE,WR,WR,RB,QB,WR,QB,TE,0,5,4,0,1560
6th,WR,WR,QB,WR,QB,RB,RB,TE,RB,1,3,3,2,1560
9th,RB,WR,QB,TE,WR,TE,TE,WR,WR,0,5,4,0,1560
4th,WR,RB,WR,QB,TE,TE,WR,RB,RB,0,5,3,1,1560
6th,WR,WR,QB,RB,RB,WR,TE,WR,RB,1,4,2,2,1560
1st,RB,RB,RB,RB,RB,QB,QB,QB,WR,0,0,6,3,1560
12th,WR,WR,WR,WR,TE,TE,WR,WR,WR,3,6,0,0,1560
4th,WR,WR,WR,WR,WR,RB,QB,QB,TE,0,4,4,1,1560
1st,WR,QB,WR,TE,TE,RB,RB,WR,RB,2,3,3,1,1560
1st,TE,WR,RB,QB,QB,WR,RB,WR,WR,0,4,4,1,1559.99778
9th,RB,RB,RB,TE,QB,WR,WR,WR,WR,1,2,5,1,1559.99302
6th,WR,RB,TE,WR,WR,RB,WR,QB,RB,1,2,5,1,1559.97134
1st,RB,RB,QB,RB,WR,RB,WR,WR,RB,1,0,6,2,1559.95136
6th,WR,QB,RB,RB,TE,WR,WR,QB,RB,0,5,3,1,1559.95086
9th,WR,WR,RB,TE,WR,TE,RB,WR,WR,3,3,3,0,1559.94434
6th,RB,RB,WR,WR,RB,WR,WR,TE,WR,2,2,4,1,1559.9413
6th,WR,WR,WR,WR,WR,WR,WR,RB,TE,2,5,0,2,1559.9207
9th,WR,WR,RB,TE,RB,WR,WR,QB,WR,1,4,3,1,1559.915
6th,RB,RB,RB,RB,TE,WR,WR,WR,RB,2,0,6,1,1559.91058
6th,TE,RB,RB,QB,RB,WR,WR,WR,TE,1,1,7,0,1559.9059
9th,RB,WR,TE,RB,RB,QB,QB,RB,WR,0,2,6,1,1559.90048
4th,RB,RB,TE,TE,WR,RB,RB,QB,WR,1,0,8,0,1559.89692
4th,WR,QB,WR,WR,WR,RB,RB,TE,TE,1,3,5,0,1559.89484
6th,RB,QB,WR,RB,RB,WR,WR,TE,WR,1,2,5,1,1559.89288
4th,WR,WR,QB,RB,WR,TE,TE,WR,RB,1,5,3,0,1559.88616
9th,WR,RB,WR,RB,TE,QB,WR,QB,RB,0,5,3,1,1559.8742
9th,WR,RB,TE,RB,WR,QB,TE,RB,WR,1,4,4,0,1559.85714
1st,WR,RB,TE,RB,WR,QB,QB,WR,WR,0,5,3,1,1559.84382
1st,RB,RB,RB,WR,RB,WR,QB,WR,QB,2,3,3,1,1559.8434
9th,WR,RB,RB,TE,RB,QB,WR,WR,RB,1,3,4,1,1559.83228
9th,WR,QB,QB,RB,WR,WR,RB,WR,RB,0,3,4,2,1559.83124
6th,WR,RB,TE,WR,QB,QB,TE,RB,WR,0,2,7,0,1559.78692
9th,WR,RB,WR,WR,WR,RB,RB,WR,WR,2,3,2,2,1559.78386
9th,RB,QB,WR,WR,WR,RB,RB,TE,TE,1,2,6,0,1559.75948
6th,RB,RB,WR,RB,TE,RB,WR,WR,RB,2,1,5,1,1559.75412
4th,WR,WR,WR,RB,TE,QB,RB,TE,WR,1,3,5,0,1559.74196
12th,TE,WR,WR,QB,QB,WR,RB,RB,RB,0,2,6,1,1559.73198
12th,RB,WR,QB,TE,WR,QB,TE,WR,RB,0,3,6,0,1559.72634
12th,RB,WR,QB,RB,RB,WR,RB,RB,QB,0,0,6,3,1559.72422
9th,WR,WR,RB,RB,WR,TE,WR,RB,WR,3,3,2,1,1559.7219
12th,WR,WR,WR,WR,WR,WR,WR,TE,RB,2,6,0,1,1559.7178
12th,WR,QB,RB,WR,WR,QB,TE,WR,RB,0,5,3,1,1559.69386
4th,RB,WR,QB,RB,WR,WR,WR,TE,QB,0,3,5,1,1559.68886
6th,WR,RB,RB,WR,RB,RB,WR,QB,RB,1,1,5,2,1559.68408
9th,WR,RB,WR,WR,WR,TE,RB,WR,RB,2,3,3,1,1559.68302
12th,RB,RB,RB,TE,WR,WR,WR,WR,WR,2,2,4,1,1559.6798
4th,RB,WR,QB,WR,WR,WR,RB,WR,QB,0,4,3,2,1559.66802
6th,TE,WR,RB,WR,WR,QB,WR,QB,RB,0,3,5,1,1559.66558
1st,WR,WR,TE,WR,QB,WR,RB,WR,WR,1,6,1,1,1559.6639
12th,RB,QB,WR,RB,TE,QB,WR,RB,WR,0,3,4,2,1559.6627
12th,WR,WR,WR,WR,QB,RB,TE,RB,WR,1,3,4,1,1559.66158
9th,WR,RB,TE,WR,QB,RB,RB,WR,WR,1,3,4,1,1559.65914
4th,TE,WR,RB,TE,QB,QB,WR,RB,WR,0,3,6,0,1559.64258
4th,WR,WR,QB,RB,QB,TE,WR,WR,WR,0,5,3,1,1559.61144
1st,WR,WR,QB,RB,QB,WR,WR,WR,TE,0,6,2,1,1559.60664
4th,RB,QB,WR,TE,RB,QB,WR,RB,WR,0,4,4,1,1559.6009
4th,RB,WR,QB,RB,QB,QB,TE,WR,WR,0,3,5,1,1559.59934
9th,RB,WR,RB,WR,WR,WR,RB,WR,QB,1,3,3,2,1559.59238
6th,TE,WR,RB,QB,TE,WR,WR,RB,RB,1,3,5,0,1559.58244
9th,WR,TE,WR,WR,WR,QB,RB,WR,WR,1,5,2,1,1559.57948
1st,WR,QB,WR,QB,RB,RB,WR,WR,WR,0,4,3,2,1559.56422
4th,WR,WR,WR,WR,WR,WR,WR,RB,RB,3,4,0,2,1559.56232
9th,WR,WR,WR,RB,TE,QB,WR,TE,TE,1,5,3,0,1559.55214
4th,RB,QB,RB,RB,WR,WR,TE,WR,RB,1,2,5,1,1559.54888
6th,WR,QB,WR,RB,RB,TE,WR,QB,WR,0,4,4,1,1559.54626
4th,RB,QB,RB,WR,RB,WR,RB,TE,RB,1,1,6,1,1559.53754
4th,TE,RB,WR,QB,WR,RB,RB,WR,WR,1,2,5,1,1559.53672
4th,WR,RB,RB,WR,WR,WR,TE,WR,WR,3,2,2,2,1559.5239
4th,WR,RB,QB,RB,RB,TE,RB,RB,WR,1,1,6,1,1559.51746
9th,WR,RB,QB,WR,RB,WR,QB,TE,RB,0,2,6,1,1559.51654
12th,WR,WR,TE,QB,RB,WR,RB,WR,WR,2,3,3,1,1559.50752
12th,RB,QB,RB,TE,RB,WR,RB,QB,WR,0,3,5,1,1559.5058
6th,WR,RB,WR,QB,RB,RB,WR,TE,WR,1,2,4,2,1559.47964
9th,RB,RB,WR,RB,TE,WR,RB,WR,RB,3,0,5,1,1559.44338
1st,TE,WR,WR,QB,TE,WR,WR,RB,RB,1,3,5,0,1559.42908
4th,WR,WR,RB,WR,TE,QB,WR,TE,RB,1,3,5,0,1559.41314
1st,TE,WR,TE,WR,RB,WR,RB,QB,WR,1,3,5,0,1559.41278
12th,WR,WR,QB,RB,QB,TE,WR,WR,RB,1,3,4,1,1559.40028
9th,WR,WR,RB,RB,TE,QB,WR,WR,WR,1,5,2,1,1559.4001
9th,RB,RB,RB,WR,WR,WR,WR,TE,QB,1,2,5,1,1559.38358
9th,WR,WR,QB,WR,RB,TE,WR,WR,WR,1,5,2,1,1559.3655
