Pick,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,QBs in Final 9,RBs in Final 9,WRs in Final 9,TEs in Final 9,Average Points
1st,WR,WR,WR,WR,WR,TE,RB,QB,QB,0,6,2,1,1614.3286
1st,RB,WR,TE,RB,RB,WR,TE,QB,QB,0,2,7,0,1614.29604
1st,RB,WR,WR,WR,QB,TE,QB,TE,WR,0,6,3,0,1614
9th,RB,WR,WR,WR,WR,QB,WR,QB,RB,0,4,3,2,1614
6th,RB,WR,WR,QB,WR,WR,WR,WR,WR,1,6,0,2,1614
1st,WR,WR,RB,WR,RB,QB,QB,RB,TE,0,4,4,1,1614
4th,RB,WR,WR,WR,QB,TE,QB,WR,RB,0,4,3,2,1614
1st,WR,RB,WR,WR,TE,RB,QB,QB,RB,0,3,5,1,1614
9th,RB,WR,WR,QB,WR,QB,WR,RB,RB,0,4,3,2,1614
1st,RB,RB,WR,WR,RB,WR,WR,QB,QB,0,1,5,3,1614
12th,WR,WR,WR,WR,WR,WR,WR,QB,RB,2,5,0,2,1613.98966
6th,RB,WR,WR,WR,WR,RB,QB,TE,RB,1,3,4,1,1613.92916
6th,RB,QB,WR,TE,RB,WR,QB,WR,RB,0,4,4,1,1613.8838
9th,RB,WR,QB,QB,WR,WR,RB,WR,WR,0,3,4,2,1613.86586
9th,RB,WR,QB,RB,WR,QB,TE,WR,RB,0,2,6,1,1613.74208
12th,WR,RB,WR,WR,WR,WR,QB,RB,WR,1,3,2,3,1613.72216
4th,RB,RB,WR,QB,RB,WR,RB,RB,QB,0,0,7,2,1613.4322
1st,RB,RB,RB,TE,WR,QB,QB,QB,WR,0,1,7,1,1613.19548
4th,RB,RB,RB,TE,QB,WR,QB,WR,WR,0,1,7,1,1613.08458
1st,WR,WR,TE,TE,WR,RB,WR,QB,QB,0,5,4,0,1613
9th,RB,WR,TE,QB,WR,WR,TE,QB,WR,0,6,3,0,1613
6th,RB,WR,WR,WR,TE,WR,TE,QB,QB,0,6,3,0,1613
6th,RB,WR,WR,WR,TE,QB,RB,WR,QB,1,3,4,1,1613
12th,WR,RB,RB,WR,WR,QB,RB,QB,TE,0,3,4,2,1613
4th,WR,RB,WR,WR,QB,QB,RB,RB,TE,0,2,5,2,1613
6th,RB,WR,QB,RB,QB,WR,RB,WR,WR,0,2,5,2,1612.98654
6th,RB,WR,QB,WR,TE,RB,QB,WR,WR,0,3,5,1,1612.83288
6th,WR,RB,WR,RB,RB,WR,QB,QB,WR,0,3,3,3,1612.78784
12th,RB,RB,RB,RB,TE,WR,QB,QB,TE,0,1,8,0,1612.6614
